dataset_id,n_patients,n_patients_level,median_survival_time,median_survival_time_level,censoring_rate,censoring_rate_level,max_follow_up_time,risk_table
piecewise_low_low_low_0_0,55,low,7.253167756251003,low,0.05036809730196892,low,36.0,"[55, 53, 49, 48, 46, 44, 38, 30, 14, 2, 2, 2, 2, 0]"
piecewise_low_low_low_0_1,65,low,6.652325924103464,low,0.0629012690139522,low,36.0,"[65, 61, 57, 55, 51, 45, 35, 23, 4, 2, 2, 2, 0]"
piecewise_low_low_low_1_0,47,low,6.392442660871468,low,0.03416178885697456,low,36.0,"[47, 45, 44, 43, 39, 34, 28, 11, 3, 1, 1, 0]"
piecewise_low_low_low_1_1,53,low,8.05190235832628,low,0.04335907899921503,low,36.0,"[53, 52, 50, 49, 49, 44, 40, 35, 29, 10, 5, 1, 1, 1, 0]"
piecewise_low_low_low_2_0,46,low,5.24112368568718,low,0.04944828258226934,low,36.0,"[46, 44, 43, 40, 34, 26, 6, 0]"
piecewise_low_low_low_2_1,53,low,5.924571726938465,low,0.04262290267355098,low,36.0,"[53, 53, 51, 47, 43, 37, 26, 1, 0]"
piecewise_low_low_low_3_0,49,low,6.935754186266412,low,0.08002771689422024,low,36.0,"[49, 48, 46, 46, 41, 36, 31, 25, 5, 1, 0]"
piecewise_low_low_low_3_1,42,low,6.835531468242105,low,0.056929078502440084,low,36.0,"[42, 40, 40, 39, 36, 32, 27, 20, 4, 0]"
piecewise_low_low_low_4_0,61,low,5.26421378009436,low,0.038430629581494055,low,36.0,"[61, 61, 59, 57, 47, 39, 14, 1, 1, 1, 0]"
piecewise_low_low_low_4_1,69,low,5.796494611218009,low,0.05523788721960769,low,36.0,"[69, 69, 67, 65, 57, 50, 29, 12, 1, 1, 1, 0]"
piecewise_low_low_low_5_0,45,low,6.57847951797439,low,0.09819855588517665,low,36.0,"[45, 42, 39, 36, 35, 31, 24, 16, 2, 1, 1, 1, 0]"
piecewise_low_low_low_5_1,69,low,6.608255667797846,low,0.0678139047755474,low,36.0,"[69, 66, 63, 60, 56, 49, 41, 26, 5, 1, 1, 1, 0]"
piecewise_low_low_low_6_0,28,low,6.314476000995312,low,0.036553600111305054,low,36.0,"[28, 27, 25, 24, 21, 19, 14, 6, 2, 1, 1, 1, 0]"
piecewise_low_low_low_6_1,22,low,5.791049673705532,low,0.05835739237893099,low,36.0,"[22, 21, 18, 18, 16, 14, 10, 2, 2, 1, 1, 0]"
piecewise_low_low_low_7_0,50,low,5.751395520934691,low,0.05564151568608338,low,36.0,"[50, 46, 44, 42, 37, 31, 19, 2, 2, 2, 2, 0]"
piecewise_low_low_low_7_1,52,low,6.430864058355397,low,0.04597364472559573,low,36.0,"[52, 48, 46, 44, 42, 35, 31, 12, 2, 2, 2, 2, 0]"
piecewise_low_low_low_8_0,34,low,4.27269491671543,low,0.05928264387327984,low,36.0,"[34, 33, 33, 25, 11, 2, 1, 1, 0]"
piecewise_low_low_low_8_1,51,low,7.052485155071169,low,0.05571050253718215,low,36.0,"[51, 50, 48, 48, 45, 39, 29, 16, 6, 2, 2, 2, 2, 0]"
piecewise_low_low_low_9_0,62,low,4.732460366139394,low,0.0603288569913591,low,36.0,"[62, 58, 52, 49, 39, 27, 3, 3, 3, 0]"
piecewise_low_low_low_9_1,58,low,7.142766601932506,low,0.040600879048623216,low,36.0,"[58, 56, 56, 52, 50, 43, 37, 33, 12, 4, 3, 3, 3, 0]"
piecewise_low_low_medium_0_0,41,low,5.861237863810676,low,0.30071861661356175,medium,36.0,"[41, 34, 31, 28, 24, 21, 15, 2, 1, 1, 1, 0]"
piecewise_low_low_medium_0_1,52,low,6.8633472908613,low,0.33221687765135927,medium,36.0,"[52, 46, 45, 43, 39, 37, 29, 23, 5, 1, 1, 1, 0]"
piecewise_low_low_medium_1_0,52,low,7.335048230459413,low,0.2840317143302238,medium,36.0,"[52, 51, 47, 46, 42, 35, 29, 24, 12, 4, 1, 1, 1, 0]"
piecewise_low_low_medium_1_1,48,low,4.5380836328464405,low,0.28548253514296357,medium,36.0,"[48, 42, 40, 36, 24, 8, 1, 1, 0]"
piecewise_low_low_medium_2_0,53,low,6.217711539911546,low,0.255895916119436,medium,36.0,"[53, 52, 48, 45, 38, 31, 21, 4, 0]"
piecewise_low_low_medium_2_1,67,low,6.152340211659105,low,0.17444316106989063,medium,36.0,"[67, 62, 58, 54, 48, 41, 31, 7, 1, 0]"
piecewise_low_low_medium_3_0,58,low,7.988070634452471,low,0.26525842347500184,medium,36.0,"[58, 55, 49, 46, 42, 41, 38, 31, 21, 8, 2, 0]"
piecewise_low_low_medium_3_1,33,low,6.49767550292719,low,0.3833798387395956,medium,36.0,"[33, 30, 27, 24, 20, 17, 12, 4, 0]"
piecewise_low_low_medium_4_0,66,low,6.306210401467089,low,0.30616439979738336,medium,36.0,"[66, 61, 58, 53, 47, 39, 32, 14, 2, 1, 1, 1, 0]"
piecewise_low_low_medium_4_1,56,low,7.094856663865737,low,0.2857082890248195,medium,36.0,"[56, 52, 52, 48, 45, 37, 33, 26, 10, 3, 1, 1, 1, 0]"
piecewise_low_low_medium_5_0,55,low,5.212751878836246,low,0.33388406524969744,medium,36.0,"[55, 48, 44, 40, 33, 22, 6, 1, 1, 0]"
piecewise_low_low_medium_5_1,35,low,4.967026588258831,low,0.3285396224619183,medium,36.0,"[35, 29, 26, 25, 20, 14, 1, 1, 1, 0]"
piecewise_low_low_medium_6_0,51,low,5.760397130181534,low,0.3002811653510066,medium,36.0,"[51, 47, 41, 37, 34, 28, 17, 2, 1, 0]"
piecewise_low_low_medium_6_1,33,low,6.815044841505719,low,0.3348456503770449,medium,36.0,"[33, 29, 26, 25, 23, 20, 16, 9, 2, 2, 1, 1, 1, 0]"
piecewise_low_low_medium_7_0,53,low,7.687261723753834,low,0.2804723088988248,medium,36.0,"[53, 49, 43, 41, 40, 35, 29, 24, 17, 4, 1, 1, 1, 1, 0]"
piecewise_low_low_medium_7_1,62,low,7.39534913861732,low,0.2935097708210766,medium,36.0,"[62, 55, 53, 49, 45, 38, 32, 26, 8, 2, 2, 2, 2, 2, 0]"
piecewise_low_low_medium_8_0,36,low,8.08141547816275,low,0.3155035188729507,medium,36.0,"[36, 34, 34, 30, 25, 21, 17, 14, 6, 2, 0]"
piecewise_low_low_medium_8_1,56,low,7.541784362113456,low,0.2735033204536737,medium,36.0,"[56, 53, 47, 47, 43, 38, 33, 24, 9, 3, 2, 2, 2, 2, 0]"
piecewise_low_low_medium_9_0,41,low,5.303167483906096,low,0.344951529720611,medium,36.0,"[41, 36, 31, 27, 20, 15, 8, 3, 3, 3, 0]"
piecewise_low_low_medium_9_1,30,low,7.453503437649848,low,0.34264134382628986,medium,36.0,"[30, 27, 27, 24, 22, 22, 18, 16, 12, 2, 2, 1, 1, 1, 0]"
piecewise_low_low_high_0_0,44,low,4.67419716462925,low,0.8028303114988612,high,36.0,"[44, 33, 30, 24, 20, 6, 2, 1, 1, 0]"
piecewise_low_low_high_0_1,52,low,7.053051606382116,low,0.7304248769686823,high,36.0,"[52, 40, 36, 34, 30, 25, 21, 13, 4, 1, 1, 1, 1, 0]"
piecewise_low_low_high_1_0,55,low,5.776762844504605,low,0.6405212818293686,high,36.0,"[55, 48, 41, 32, 27, 16, 10, 1, 0]"
piecewise_low_low_high_1_1,50,low,4.8497696454129215,low,0.710330823240762,high,36.0,"[50, 41, 31, 21, 12, 6, 3, 1, 1, 0]"
piecewise_low_low_high_2_0,68,low,5.646350515567589,low,0.5795293304279504,high,36.0,"[68, 58, 50, 42, 31, 24, 11, 1, 0]"
piecewise_low_low_high_2_1,34,low,4.726279664904076,low,0.8122837750353334,high,36.0,"[34, 26, 20, 13, 8, 6, 1, 0]"
piecewise_low_low_high_3_0,64,low,6.361943772904807,low,0.5582414666507591,high,36.0,"[64, 58, 52, 40, 32, 26, 17, 2, 0]"
piecewise_low_low_high_3_1,50,low,5.103279976855085,low,0.744548715493495,high,36.0,"[50, 44, 36, 24, 16, 8, 1, 0]"
piecewise_low_low_high_4_0,59,low,6.759783711594894,low,0.7217060546241006,high,36.0,"[59, 54, 47, 39, 34, 27, 15, 10, 4, 1, 1, 1, 0]"
piecewise_low_low_high_4_1,52,low,4.5640099444144635,low,0.6503809963409609,high,36.0,"[52, 44, 36, 23, 14, 6, 2, 1, 1, 0]"
piecewise_low_low_high_5_0,50,low,6.996909114180616,low,0.6781611658581197,high,36.0,"[50, 40, 33, 30, 27, 21, 17, 11, 4, 1, 0]"
piecewise_low_low_high_5_1,56,low,7.108192989825193,low,0.8237294224014275,high,36.0,"[56, 44, 36, 30, 23, 18, 10, 8, 3, 1, 1, 1, 1, 0]"
piecewise_low_low_high_6_0,64,low,6.22755756447258,low,0.731254011685866,high,36.0,"[64, 54, 39, 35, 30, 24, 17, 9, 2, 0]"
piecewise_low_low_high_6_1,58,low,6.926203771303612,low,0.6721694939667034,high,36.0,"[58, 48, 39, 36, 30, 28, 20, 11, 4, 1, 0]"
piecewise_low_low_high_7_0,54,low,5.849725170101633,low,0.6775792183751647,high,36.0,"[54, 42, 37, 29, 25, 20, 8, 0]"
piecewise_low_low_high_7_1,60,low,4.878958013160331,low,0.6336698288624428,high,36.0,"[60, 48, 37, 31, 20, 14, 3, 1, 1, 0]"
piecewise_low_low_high_8_0,31,low,6.058069046163412,low,0.703874817766197,high,36.0,"[31, 26, 22, 18, 11, 7, 2, 0]"
piecewise_low_low_high_8_1,54,low,5.091471518686303,low,0.6202823733097762,high,36.0,"[54, 45, 41, 30, 17, 6, 1, 1, 1, 0]"
piecewise_low_low_high_9_0,54,low,6.4904329743357,low,0.8103878129559803,high,36.0,"[54, 44, 37, 31, 22, 15, 9, 5, 3, 3, 3, 2, 0]"
piecewise_low_low_high_9_1,70,low,5.483804625635896,low,0.7824262720002003,high,36.0,"[70, 54, 41, 28, 21, 17, 7, 3, 2, 2, 0]"
piecewise_low_medium_low_0_0,36,low,12.80684798972794,medium,0.01526192816110545,low,36.0,"[36, 33, 31, 31, 29, 27, 22, 8, 2, 2, 2, 2]"
piecewise_low_medium_low_0_1,42,low,12.617132072542404,medium,0.030453834398265354,low,36.0,"[42, 39, 37, 36, 33, 31, 25, 10, 2, 2, 2, 1]"
piecewise_low_medium_low_1_0,44,low,12.650190299316662,medium,0.03692575856048642,low,36.0,"[44, 43, 41, 41, 36, 31, 25, 8, 3, 1, 1, 0]"
piecewise_low_medium_low_1_1,32,low,13.936566317419313,medium,0.04240565264595397,low,36.0,"[32, 31, 31, 31, 29, 26, 19, 14, 5, 2, 1, 1, 0]"
piecewise_low_medium_low_2_0,42,low,9.145117014515057,medium,0.07390699821047048,low,36.0,"[42, 42, 42, 38, 38, 36, 33, 30, 27, 22, 9, 2, 0]"
piecewise_low_medium_low_2_1,64,low,12.89517063761777,medium,0.029370459637493608,low,36.0,"[64, 64, 64, 63, 62, 62, 61, 56, 55, 49, 47, 44, 38, 33, 14, 7, 2, 0]"
piecewise_low_medium_low_3_0,58,low,12.635920218692837,medium,0.06352639645112883,low,36.0,"[58, 57, 56, 56, 56, 55, 52, 49, 48, 46, 40, 38, 31, 27, 9, 3, 1, 0]"
